Product,Price,category,Filename,Retailer
NAFNAF Blue Cotton-blend skinny pants,3.0,pants,drest.csv,drest
Black puff sleeve denim blouse dress,3.0,dresses,drest.csv,drest
NAFNAF Handbag mauve,3.0,accessories,drest.csv,drest
NAFNAF FLUID T-SHIRT WITH LACE TRIM,3.0,t-shirts,drest.csv,drest
RIVER ISLAND -Brown spot cropped blazer,3.0,blazers,drest.csv,drest
"DREST COLLECTION Square heel three-bung suede sandal, Black",3.0,shoes,drest.csv,drest
NewLook Black Faux Croc Mini Shoulder Bag,13.9,accessories,drest.csv,drest
top,15.99,t-shirts,shana.csv,shana
Women's tank top,15.99,t-shirts,HA.csv,HA
Black crumpled top with V-neck and batwing sleeves,18.8,t-shirts,drest.csv,drest
TOP CROP BIMATIRE,19.9,t-shirts,zara.csv,zara
TOP PLISS,19.9,t-shirts,zara.csv,zara
Women's top,19.99,t-shirts,HA.csv,HA
Printed kimono cardigan,19.99,blazers,HA.csv,HA
Black organza top with roses pattern and puffed sleeves,20.2,t-shirts,drest.csv,drest
NewLook Black Sport Tote Bag,20.9,accessories,drest.csv,drest
top,23.99,t-shirts,shana.csv,shana
top,23.99,t-shirts,shana.csv,shana
top,23.99,t-shirts,shana.csv,shana
top,23.99,t-shirts,shana.csv,shana
top,24.99,pants,shana.csv,shana
top,24.99,shoes,shana.csv,shana
top,24.99,dresses,shana.csv,shana
top,24.99,blazers,shana.csv,shana
top,24.99,t-shirts,shana.csv,shana
top,24.99,accessories,shana.csv,shana
TOP CROP GATHER,25.9,t-shirts,zara.csv,zara
NIGHT EDP 30ML,25.9,perfumes,zara.csv,zara
WATERLILY TEA DRESS 10 ML,25.9,perfumes,zara.csv,zara
EBONY WOOD 10 ML,25.9,perfumes,zara.csv,zara
SET OF THREE FAUX FUR SCREWS,25.9,accessories,zara.csv,zara
TOP GATHERING,25.9,t-shirts,zara.csv,zara
Women's T-Shirt,25.99,t-shirts,HA.csv,HA
Women's T-Shirt,25.99,shoes,HA.csv,HA
Women's shorts,25.99,shoes,HA.csv,HA
Women's waffle top with bardot collar,25.99,t-shirts,HA.csv,HA
Newlook Rainbow Stripe Twist Tie Front Cami,26.9,t-shirts,drest.csv,drest
top,27.99,t-shirts,shana.csv,shana
top,27.99,t-shirts,shana.csv,shana
top,27.99,t-shirts,shana.csv,shana
top,27.99,t-shirts,shana.csv,shana
NewLook 2 Pack Multicoloured Tie Dye Pliss Knot Headbands,29.0,accessories,drest.csv,drest
MOA EARRING COLOR BLACK / BROWN,29.0,accessories,drest.csv,drest
NewLook Pale Pink Beauty Sponge,29.0,accessories,drest.csv,drest
NewLook Burgundy Leather-Look Zip Front Tote Bag,29.0,accessories,drest.csv,drest
Black Floral Shirred Puff Sleeve Top,29.9,t-shirts,drest.csv,drest
Short cardigan with knot,29.99,blazers,HA.csv,HA
Women's T-Shirt,29.99,t-shirts,HA.csv,HA
Basic Extra Push Up Bra,29.99,accessories,HA.csv,HA
Women's T-Shirt,29.99,t-shirts,HA.csv,HA
Extra Push Up Bra,29.99,accessories,HA.csv,HA
Printed cotton bra,29.99,accessories,HA.csv,HA
Bag,29.99,accessories,shana.csv,shana
Bag,29.99,accessories,shana.csv,shana
MIGATO-Beige patent flap handbag,31.2,accessories,drest.csv,drest
top,31.49,t-shirts,shana.csv,shana
top,31.49,t-shirts,shana.csv,shana
top,31.49,t-shirts,shana.csv,shana
top,31.49,t-shirts,shana.csv,shana
top,31.99,t-shirts,shana.csv,shana
top,31.99,t-shirts,shana.csv,shana
top,31.99,t-shirts,shana.csv,shana
top,31.99,t-shirts,shana.csv,shana
Top Body,31.99,t-shirts,shana.csv,shana
top,31.99,t-shirts,shana.csv,shana
top,31.99,t-shirts,shana.csv,shana
top,31.99,t-shirts,shana.csv,shana
Dark Brown Metal Detail Sunglasses,32.9,accessories,drest.csv,drest
NewLook Bloom & Luna Rose Gold Blush and Powder Brush,32.9,accessories,drest.csv,drest
NewLook Black Floral Ruched Reusable Face Covering,32.9,accessories,drest.csv,drest
GUILD Doctors Bag White,32.9,accessories,drest.csv,drest
"ETAM -ATIKA Printed scrunchies, MULTICOLOR",32.9,accessories,drest.csv,drest
Newlook Mint green button-down linen-effect playsuit,34.4,dresses,drest.csv,drest
Red Shirred Puff Sleeve Top,34.9,t-shirts,drest.csv,drest
NAFNAF Tank top with adjustable straps for women,34.9,t-shirts,drest.csv,drest
top,34.99,pants,shana.csv,shana
Bag,34.99,accessories,shana.csv,shana
top,34.99,accessories,shana.csv,shana
top,34.99,t-shirts,shana.csv,shana
top,34.99,dresses,shana.csv,shana
top,34.99,blazers,shana.csv,shana
top,34.99,shoes,shana.csv,shana
Basic cotton t-shirt,35.9,t-shirts,mango.csv,mango
QUILTED AND PRINTED WALLET,35.9,accessories,zara.csv,zara
QUILTED AND PRINTED WALLET,35.9,accessories,zara.csv,zara
QUILTED AND PRINTED WALLET,35.9,accessories,zara.csv,zara
PRINTED SCARF SCREEN,35.9,accessories,zara.csv,zara
PRINTED SCARF SCREEN,35.9,accessories,zara.csv,zara
Basic cotton t-shirt,35.9,t-shirts,mango.csv,mango
BASIC V-NECK TOP,35.9,t-shirts,zara.csv,zara
Basic organic cotton T-shirt,35.9,t-shirts,mango.csv,mango
TEXTURED HAIR BAND,35.9,accessories,zara.csv,zara
TEXTURED HAIR BAND,35.9,accessories,zara.csv,zara
Pleated detail t-shirt,35.9,t-shirts,mango.csv,mango
Basic cotton t-shirt,35.9,t-shirts,mango.csv,mango
QUILTED AND PRINTED BAG,35.9,accessories,zara.csv,zara
Basic cotton t-shirt,35.9,t-shirts,mango.csv,mango
BASIC CHARP,35.9,accessories,zara.csv,zara
QUILTED AND PRINTED BAG,35.9,accessories,zara.csv,zara
Basic Bandeau Bra,35.99,accessories,HA.csv,HA
Basic Push Up Bra,35.99,accessories,HA.csv,HA
Women's geometric print T-shirt,35.99,t-shirts,HA.csv,HA
Women's geometric print T-shirt,35.99,t-shirts,HA.csv,HA
Top bodysuit,35.99,t-shirts,shana.csv,shana
Basic Extra Push Up Bra,35.99,accessories,HA.csv,HA
Women's T-Shirt,35.99,t-shirts,HA.csv,HA
"ETAM -LOZANGE Tights with lozenge patterns, Black",39.0,accessories,drest.csv,drest
"ETAM -TROMPE LIL Pantyhose trompe il effect stockings, Black",39.0,accessories,drest.csv,drest
"ETAM -ALENA Short-sleeved tie-dye top, Blue",39.9,t-shirts,drest.csv,drest
NewLook Black Eylure Texture No. 117 False Lashes,39.9,accessories,drest.csv,drest
Full cup lace bra,39.99,accessories,HA.csv,HA
Wide cropped ctel pants,39.99,pants,HA.csv,HA
Women's shorts set,39.99,shoes,HA.csv,HA
top,39.99,t-shirts,shana.csv,shana
Extra Push Up lace bra,39.99,shoes,HA.csv,HA
top,39.99,t-shirts,shana.csv,shana
Basic Extra Push Up Bra,39.99,shoes,HA.csv,HA
Lace bra,39.99,accessories,HA.csv,HA
Soft lace bra,39.99,accessories,HA.csv,HA
Push Up lace bra,39.99,accessories,HA.csv,HA
Full cup lace bra,39.99,accessories,HA.csv,HA
Women's T-Shirt,39.99,t-shirts,HA.csv,HA
Women's T-Shirt,39.99,t-shirts,HA.csv,HA
Women's ctel tunic,39.99,t-shirts,HA.csv,HA
top,39.99,t-shirts,shana.csv,shana
top,39.99,t-shirts,shana.csv,shana
Large geometric print pants,39.99,pants,HA.csv,HA
"ETAM -ADELA Tropical print pencil case, Pink",43.9,accessories,drest.csv,drest
top,43.99,t-shirts,shana.csv,shana
top,43.99,t-shirts,shana.csv,shana
MOA EARRING COLOR BROWN / GOLD,44.5,accessories,drest.csv,drest
NafNaf Womens long-sleeved sweater with lace and round neck,44.9,t-shirts,drest.csv,drest
White Embroidery Frill Puff Sleeve Top,44.9,t-shirts,drest.csv,drest
Brown Leopard Print Puff Sleeve Top,44.9,t-shirts,drest.csv,drest
Newlook Pink Frill Trim Milkmaid Bodysuit,44.9,t-shirts,drest.csv,drest
Petite Black Short Sleeve Ruffle Top,44.9,t-shirts,drest.csv,drest
top,44.99,t-shirts,shana.csv,shana
Tunic,44.99,dresses,shana.csv,shana
Push Up lace bra,44.99,shoes,HA.csv,HA
Lace bra,44.99,accessories,HA.csv,HA
Padd lace bra,44.99,shoes,HA.csv,HA
Full cup lace bra,44.99,shoes,HA.csv,HA
"ETAM - ORGANIC COTTON 30D organic cotton tights, Black",45.0,accessories,drest.csv,drest
"ETAM - SEAMLESS Seamless 30D stockings, Black",45.0,accessories,drest.csv,drest
Interlacing rings,45.9,accessories,mango.csv,mango
Relief rings set,45.9,accessories,mango.csv,mango
Irregular croles,45.9,accessories,mango.csv,mango
Set of rhinestone earrings,45.9,accessories,mango.csv,mango
Basic V-neck T-shirt,45.9,t-shirts,mango.csv,mango
Irregular croles,45.9,accessories,mango.csv,mango
Metal croles,45.9,accessories,mango.csv,mango
Irregular croles,45.9,accessories,mango.csv,mango
Set of combined earrings,45.9,accessories,mango.csv,mango
Irregular croles,45.9,accessories,mango.csv,mango
Stone signet,45.9,accessories,mango.csv,mango
Stone signet,45.9,accessories,mango.csv,mango
Irregular croles,45.9,accessories,mango.csv,mango
PPLUM T-SHIRT,45.9,t-shirts,zara.csv,zara
BIMATED POPLIN TOP,45.9,t-shirts,zara.csv,zara
Basic leggings,45.9,pants,mango.csv,mango
Combined pearl earrings,45.9,accessories,mango.csv,mango
Set of rhinestone earrings,45.9,accessories,mango.csv,mango
Combined croles,45.9,accessories,mango.csv,mango
Croles,45.9,accessories,mango.csv,mango
Croles,45.9,accessories,mango.csv,mango
Irregular croles,45.9,accessories,mango.csv,mango
Set of combined earrings,45.9,accessories,mango.csv,mango
Cotton top,45.9,t-shirts,mango.csv,mango
Set of combined earrings,45.9,accessories,mango.csv,mango
Circles dangling earrings,45.9,accessories,mango.csv,mango
Croles,45.9,accessories,mango.csv,mango
Set of combined earrings,45.9,accessories,mango.csv,mango
Irregular croles,45.9,accessories,mango.csv,mango
MESH MITTS,45.9,accessories,zara.csv,zara
CTELES MITTS,45.9,accessories,zara.csv,zara
Recycled polyester top,45.9,t-shirts,mango.csv,mango
Set of combined earrings,45.9,accessories,mango.csv,mango
NafNaf Green LONG DRESS with V-neck and wallet closure,47.4,dresses,drest.csv,drest
NEWLOOK Bright Blue Ripped High Waist Tori Mom Jeans,47.4,pants,drest.csv,drest
"ETAM -DOLI Striped jumpsuit with straps, Ecru",47.4,dresses,drest.csv,drest
NEWLOOK Red Spot Puff Sleeve Tie Wrap Mini Dress,47.8,dresses,drest.csv,drest
White mystical print tank top,47.9,t-shirts,drest.csv,drest
NafNaf FLOWING PURPLE SHORT DRESS,47.9,dresses,drest.csv,drest
Large pants,47.99,pants,shana.csv,shana
DREST COLLECTION Flip-flops in white with two cross bands,49.0,shoes,drest.csv,drest
Havaianas Slim Glitter Black,49.4,shoes,drest.csv,drest
Oversized brown tortoiseshell-effect sunglasses,49.9,accessories,drest.csv,drest
BRIGHT ROSE EDP 100ML,49.9,perfumes,zara.csv,zara
"ETAM -BARBARA Short-sleeved bandana print top, Ecru",49.9,t-shirts,drest.csv,drest
"ETAM -ALLAN Plain short-sleeved top, Powder pink",49.9,t-shirts,drest.csv,drest
Long ctel cardigan with belt,49.99,blazers,HA.csv,HA
top,49.99,pants,shana.csv,shana
top,49.99,blazers,shana.csv,shana
top,49.99,t-shirts,shana.csv,shana
Extra Push Up lace bra,49.99,shoes,HA.csv,HA
Long kimono cardigan,49.99,blazers,HA.csv,HA
Extra Push Up lace bra,49.99,shoes,HA.csv,HA
Women's wide waffle pants,49.99,pants,HA.csv,HA
top,49.99,accessories,shana.csv,shana
top,49.99,dresses,shana.csv,shana
top,49.99,shoes,shana.csv,shana
top,51.99,accessories,shana.csv,shana
top,51.99,t-shirts,shana.csv,shana
top,51.99,blazers,shana.csv,shana
